"filename", "language", "JSON", "JavaScript", "Markdown", "TypeScript", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Message\ProposeMessage.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Message\RegroupByDate.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 4, 20
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Message\UserToUser.js", "JavaScript", 0, 86, 0, 0, 0, 0, 0, 11, 97
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Message\hooks\useLoadingMessage.js", "JavaScript", 0, 47, 0, 0, 0, 0, 0, 9, 56
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Message\newMessage.js", "JavaScript", 0, 421, 0, 0, 0, 0, 0, 45, 466
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Message\preMessage.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Message\renderMessageComponent.js", "JavaScript", 0, 212, 0, 0, 0, 0, 6, 22, 240
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\NavBar\CategoryProduct.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 4, 13
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\NavBar\MobileHeader.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\NavBar\PageNotFound.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 3, 27
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\NavBar\RightMenuCostum.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 4, 11
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\NavBar\Search.js", "JavaScript", 0, 221, 0, 0, 0, 0, 12, 31, 264
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\NavBar\SubHeaderManager.js", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 6, 52
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\NavBar\SubHeaderNavigation.js", "JavaScript", 0, 113, 0, 0, 0, 0, 0, 12, 125
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\NavBar\createUITheme.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 4, 17
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\NavBar\isLogin.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 3, 32
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\NavBar\navBarStyle.js", "JavaScript", 0, 79, 0, 0, 0, 0, 1, 5, 85
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Profil\ChangeAdress.js", "JavaScript", 0, 87, 0, 0, 0, 0, 0, 8, 95
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Profil\MemberProfile.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Profil\ModalAdress.js", "JavaScript", 0, 118, 0, 0, 0, 0, 0, 16, 134
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Profil\MyFavorite.js", "JavaScript", 0, 269, 0, 0, 0, 0, 1, 13, 283
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Profil\MyFrips\DeleteModal.js", "JavaScript", 0, 114, 0, 0, 0, 0, 0, 21, 135
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Profil\MyFrips\Delivery.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Profil\MyFrips\Filter.js", "JavaScript", 0, 128, 0, 0, 0, 0, 0, 10, 138
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Profil\MyFrips\MyFrips.js", "JavaScript", 0, 355, 0, 0, 0, 0, 0, 23, 378
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Profil\MyFrips\MyItems.js", "JavaScript", 0, 906, 0, 0, 0, 0, 0, 47, 953
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Profil\MyFrips\MyProposition.js", "JavaScript", 0, 346, 0, 0, 0, 0, 0, 17, 363
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Profil\MyFrips\MyPurchase\MyPurchase.js", "JavaScript", 0, 280, 0, 0, 0, 0, 0, 20, 300
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Profil\MyFrips\MyPurchase\PurchaseStep.js", "JavaScript", 0, 255, 0, 0, 0, 0, 0, 31, 286
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Profil\MyFrips\MySell\DeliveryStep.js", "JavaScript", 0, 292, 0, 0, 0, 0, 15, 27, 334
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Profil\MyFrips\MySell\DetailsDelivery.js", "JavaScript", 0, 114, 0, 0, 0, 0, 0, 7, 121
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Profil\MyFrips\MySell\MySell.js", "JavaScript", 0, 293, 0, 0, 0, 0, 0, 24, 317
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Profil\MyFrips\MySell\RatingComponent.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 5, 47
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Profil\MyFrips\Promotion.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Profil\NotificationComponent.js", "JavaScript", 0, 66, 0, 0, 0, 0, 1, 9, 76
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Profil\Profil.js", "JavaScript", 0, 234, 0, 0, 0, 0, 174, 21, 429
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\img\image.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 2, 4
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\index.css", "CSS", 0, 0, 0, 0, 7, 0, 0, 1, 8
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\index.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\reducers\auth.js", "JavaScript", 0, 85, 0, 0, 0, 0, 0, 10, 95
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\reducers\creationItem.js", "JavaScript", 0, 36, 0, 0, 0, 0, 0, 5, 41
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\reducers\errorReducers.js", "JavaScript", 0, 12, 0, 0, 0, 0, 1, 3, 16
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\reducers\favoriteReducers.js", "JavaScript", 0, 55, 0, 0, 0, 0, 1, 8, 64
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\reducers\fetchDataAction.js", "JavaScript", 0, 55, 0, 0, 0, 0, 0, 8, 63
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\reducers\filterCatalogue.js", "JavaScript", 0, 173, 0, 0, 0, 0, 1, 25, 199
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\reducers\handleClickReducer.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\reducers\index.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 1, 24
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\reducers\itemForPropose.js", "JavaScript", 0, 86, 0, 0, 0, 0, 0, 13, 99
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\reducers\itemReducer.js", "JavaScript", 0, 105, 0, 0, 0, 0, 1, 17, 123
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\reducers\messageReducer.js", "JavaScript", 0, 121, 0, 0, 0, 0, 0, 24, 145
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\reducers\myFrips.js", "JavaScript", 0, 174, 0, 0, 0, 0, 2, 10, 186
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\reducers\notification.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 7, 61
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\reducers\payment.js", "JavaScript", 0, 48, 0, 0, 0, 0, 1, 6, 55
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\routes\CheckUrl.js", "JavaScript", 0, 75, 0, 0, 0, 0, 0, 25, 100
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\routes\PrivateRoute.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 5, 29
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\routes\SearchUrl.js", "JavaScript", 0, 66, 0, 0, 0, 0, 0, 26, 92
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\store\store.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 5, 12
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\utils\setAuthToken.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 3, 13
"Total", "-", 16364, 17169, 38, 0, 14, 27, 618, 1818, 36048
